Parameter,Mean,Median,HPD_lower,HPD_higher,q_lower,q_higher,Rhat,n_eff
"U1[67,2]",-0.29532662430110834,-0.29057350000000004,-2.27035,1.53842,-2.21904375,1.5961114999999995,1.0004746,21648.313
"U1[68,2]",0.6692416874099166,0.6813165,-1.0539,2.38386,-1.0592582499999998,2.38092925,1.0001224,19625.941
"U1[69,2]",-0.20577183884883332,-0.1968145,-2.01529,1.56896,-2.001304249999999,1.5956674999999987,0.9998083,19685.213
"U1[70,2]",-0.2220359417955,-0.222675,-2.09799,1.64946,-2.10913375,1.64443175,1.0015692,25651.165
"U1[71,2]",-0.08306400106711333,-0.085094,-2.04865,1.84157,-2.0297922500000003,1.867118499999999,0.9999945,24410.664
"U1[72,2]",0.4228871185252083,0.4121005,-1.25972,2.19965,-1.3203524999999992,2.1561189999999995,1.0001894,19761.014
"U1[73,2]",0.288852738175,0.2881685,-1.52525,2.14514,-1.555187999999999,2.117453499999999,1.0002241,19962.169
"U1[74,2]",-0.5383980671001166,-0.5374675,-2.35428,1.29109,-2.3588174999999993,1.2895022499999997,1.0000718,21834.297
"U1[75,2]",-0.006985482387833333,-0.004511565,-1.93611,1.90857,-1.9390679999999991,1.9062159999999997,1.0003357,19746.781
"U1[76,2]",0.7700712897781666,0.771422,-1.01117,2.60933,-1.04619,2.5805979999999997,1.0006071,17594.764
"U1[77,2]",-0.3473081218603975,-0.3438325,-2.2548,1.41762,-2.2034105,1.4782124999999995,1.0000516,20510.397
"U1[78,2]",0.04600379030748333,0.03851225,-1.81516,1.99536,-1.8787957499999999,1.9487375,1.0002501,23678.089
"U1[79,2]",-0.3933266154092,-0.395539,-2.29323,1.41735,-2.2411995,1.4726057499999994,1.0002403,22277.028
"U1[80,2]",-0.2842336149481667,-0.2833635,-2.09705,1.66735,-2.185774749999999,1.5896269999999995,1.0004093,21243.066
"U1[81,2]",0.11055695258791667,0.10704849999999999,-1.79108,2.04624,-1.7830157499999997,2.0610654999999998,1.0002119,21473.841
"U1[82,2]",0.6560574701957408,0.648201,-1.15795,2.53914,-1.1968487499999998,2.5056024999999997,1.0001900,19141.056
"U1[83,2]",-0.4581139318907008,-0.454948,-2.29224,1.48771,-2.338348,1.4452744999999998,0.9999037,22937.625
