Player,Ability,SE
Jarkko Nieminen,0.7094669385612365,1.3747828860153377
Nicolas Massu,-34.98781316286817,3110.769172563119
Mikhail Youzhny,1.5174251009709312,1.3638606436771483
Albert Ramos-Vinolas,2.348865769254684,1.359472341091991
Stephane Robert,0.5026381055640873,1.397461435264991
Igor Andreev,0.9085852733266947,1.4146427963220127
Alejandro Falla,1.0225926764109277,1.3788730203920725
Pablo Andujar,1.52874489511636,1.3655567513889866
Roger Federer,4.484060262109132,1.362028331238432
Bastian Knittel,0.1573970670900511,1.5751421023700354
Gianluca Naso,-0.4368677529285592,1.528513836594678
Simone Bolelli,1.902311939343346,1.3771464660899615
Ricardo Hocevar,-0.6262048970023915,1.778612303225016
David Guez,-0.3664122936972679,1.4697412226705644
Nicolas Almagro,2.6131659963008436,1.362689286018489
Sam Querrey,2.6346600781550777,1.360493191261294
Evgeny Korolev,-0.10973141232959831,1.4904626172268447
Radek Stepanek,1.4563171844153586,1.377870167178655
Pablo Martin-Adalia,-17.217202749800087,10754.013060590942
Feliciano Lopez,2.394420676539859,1.3599649346578204
Bjorn Phau,-1.9173076943636602,1.5680619137901324
Ivan Dodig,2.0701296467505528,1.3691004912652434
Nicolas Mahut,1.3735787208107446,1.366713108474762
John Isner,3.2720965481332485,1.3592074358599893
Steve Darcis,1.5494219018691768,1.3866080931745544
Gael Monfils,3.253966745390933,1.3615923813003679
Santiago Giraldo,1.974770198931303,1.3653333090069852
Robby Ginepri,-0.7659584881264718,1.468465015612307
Filippo Volandri,-0.24413672706381068,1.4069037527074153
Marinko Matosevic,1.8416633677018839,1.3740003060141732
Sergei Bubka,1.2727713241129117,1.4747693196817646
Julian Knowle,-17.217202743813996,10754.013027887058
Ruben Ramirez-Hidalgo,-19.85819661382265,1385.641387614816
Horacio Zeballos,1.7675617285177179,1.3773671863148855
Richard Gasquet,3.026049015572794,1.3594868218530014
Gilles Muller,2.21821141826635,1.3656376735116027
Lleyton Hewitt,0.3340777166549217,1.4085362733046083
Peter Luczak,-2.99692425632185,1.7284383357321635
Lukasz Kubot,0.25861590695378905,1.3872894715066377
Rik de Voest,-1.7776371576166812,1.6411384303106389
Daniel Gimeno-Traver,0.1647689515683252,1.3820089183611886
Tommy Robredo,1.9193510874954005,1.3689013053461345
Teimuraz Gabashvili,0.1171279842055102,1.3869468946674977
Aldin Setkic,0.5600446057648638,1.4516050555299773
Ilija Bozoljac,-0.994051178582765,1.5734533255135144
Roko Karanusic,-18.401783034851576,7191.770470341551
Alejandro Davidovich Fokina,23.80785128859432,2274.8167474220295
Bernard Tomic,2.913003736567751,1.3621632944903557
Norbert Gombos,3.5734829696838477,1.4036722958459442
Bjorn Fratangelo,3.9778014158689676,1.3979950891520339
Joao Domingues,3.6200232120927387,1.511379586809746
Gianluca Mager,3.6695992303276275,1.7045968605132003
Gregoire Barrere,4.1405150644645605,1.476085416794561
Evgeny Karlovskiy,4.145764892557999,2.0221025540484074
Johannes Haerteis,4.24178277710533,10991.978229978558
Jay Clarke,7.015297017884539,1.8854999209534598
Jeremy Chardy,2.6407524635337514,1.359969359289394
Rui Machado,-1.2220020283919184,1.71205647753602
Sergiy Stakhovsky,1.5900194961622491,1.3636349194885022
Rogier Wassen,-77.46834936573396,5476.1211563965
Oliver Marach,-28.914149015151775,3710.659455816418
Zack Fleishman,-21.771328758544914,4996.7267048994145
Philipp Kohlschreiber,2.5450985828168045,1.3600063432101628
Victor Hanescu,-0.20375374557278786,1.406315423503013
Florent Serra,-2.6413484811465247,1.5939407089020836
Janko Tipsarevic,1.7943962064244177,1.3723030300448735
Giovanni Lapentti,-17.865304399805723,2608.201850433096
Alessio di Mauro,-17.027109050549463,2883.666568871319
Xavier Malisse,-0.5266844129862271,1.450320734666123
Potito Starace,-0.20064027977405408,1.4369034110560799
Florian Mayer,1.4604948165761733,1.3680374812260616
Andreas Beck,-2.870802947418289,2.058527174602575
Alejandro Gomez,21.21105336918063,6866.974834445216
Andres Molteni,0.5670056433319177,1.8165584540643689
Farrukh Dustov,-1.0853515104650033,1.5503014059623825
Michael Russell,-0.34929047913048444,1.4084437652921953
Alejandro Tabilo,39.69120493139113,4857.550105787128
Daniel Elahi Galan,6.583348072147861,1.7988214146010806
Bernabe Zapata Miralles,22.161900832062543,2917.08659960392
Matteo Viola,1.8093243150594065,1.4182971088223826
Aleksandar Vukic,23.129402453979484,3820.055240383059
Jacob Grills,5.487115613325221,5.901147524843547
Richard Berankis,2.567067365910326,1.3675859765177993
Aleksandr Nedovesov,0.6319764769002736,1.5042284777471733
Leonardo Kirche,-0.08446322395924238,2.063991821116713
Alessandro Bega,20.587169598452746,4206.089882300281
Ivan Nedelko,-15.45120094964972,2992.4932097646874
Prajnesh Gunneswaran,2.8985923231294697,1.458720657771675
Alessandro Giannessi,2.1628747253039555,1.4058930197888626
Frederico Gil,1.1845537545689162,1.4103344666960747
Tiago Lopes,-17.403193786587536,10754.01302808678
Olivier Patience,-20.089808799215415,3606.504893836278
Evgeny Kirillov,1.2401900593575947,1.8916713809020242
Michal Przysiezny,-1.4243733026528278,1.4567211944021723
Joao Souza,1.3660680203351054,1.4055677732391028
Luis Diaz-Barriga,-16.67734539129848,6936.823973392576
Mikhail Kukushkin,2.53964732634869,1.36475470144595
Jose Pereira,-17.266406894267327,5730.046943168331
Jurgen Zopp,2.3157744265609996,1.3874384354512546
Jose Acasuso,-34.719543860629855,5106.378249494345
Alex Bolt,4.358233070763641,1.4365308704385427
James Mcgee,2.2050062970980893,1.420548539896637
Marcelo Arevalo,0.8937227712867348,1.6898893188213695
Miliaan Niesten,3.1356706835900505,2.1389655080015775
Denis Kudla,3.0075658429817307,1.3692556770262123
Alexander Ward,2.7112199797743286,1.710644747786915
Jan-Lennard Struff,3.2826057757014064,1.3643502906289422
Riccardo Bellotti,3.5532803687853622,1.5957232593479327
Jack Sock,3.8382220256838187,1.3661116320332591
Benjamin Mitchell,3.9575244765499358,1.9070778769624397
Gilles Simon,2.8588141154028452,1.3584814893728492
Boy Westerhof,0.1642376337550668,1.9643443233178488
Vasek Pospisil,2.5000612042114048,1.3653139683229463
Marius Copil,2.5593897988487506,1.3696697534641988
Dmytro Kamynin,-15.20783544120229,10754.013032733848
Alex De Minaur,6.624872952493465,1.4582894741699892
Gastao Elias,2.4420627628476894,1.3887872702063722
Andy Murray,4.251563866917416,1.3610742750169558
Steve Johnson,3.4078516394419953,1.364659713032594
Milos Raonic,3.7725455330086612,1.3589732542888382
Benoit Paire,2.9892298198834015,1.3593797928031008
Damir Dzumhur,3.4051650798739117,1.370734048033097
Gerald Melzer,2.883178577006605,1.4183527229164237
Pierre-Hugues Herbert,3.542551927451982,1.368228320667408
Mackenzie Mcdonald,3.9405155377762844,1.426078716697831
Roberto Bautista Agut,2.9762482139366666,1.3612146517243566
Marco Cecchinato,3.9460274697710207,1.3780964752585099
Taro Daniel,4.23361885061352,1.3938312516887998
Jordan Thompson,4.247089870606061,1.4007657237382216
Laslo Djere,4.42155100466414,1.4173523730355408
Christian Garin,4.766664899977723,1.4098472873205188
Borna Coric,3.9184645177579176,1.3665610132216368
Hyeon Chung,4.1230229348908685,1.3812620384434984
Nicolas Jarry,4.327362121507639,1.400104705996428
Reilly Opelka,5.967586267490132,1.4334427184735843
Andrey Rublev,4.515114330251286,1.3742210449532544
Taylor Harry Fritz,4.2632562637980875,1.3765111470898228
Frances Tiafoe,4.183199881945048,1.3755933898799186
Alexei Popyrin,8.424516538777468,1.712346586999315
Jurgen Melzer,0.7823313196068219,1.3798235057048425
Pedro Sousa,1.1382176357680345,1.5243389491394466
Kei Nishikori,3.801560948307018,1.3594289358258216
John Millman,3.0044857770062623,1.3769631041661063
Ruben Bemelmans,2.6799949211907106,1.3834484975573675
Alex Jr. Bogomolov,0.5061746730335571,1.3932036449487006
Igor Kunitsyn,-2.329033886288699,1.5689621914255292
Joseph Sirianni,-19.059893839429343,10754.013029803855
Alex Kuznetsov,0.8236868936877564,1.4143008166420739
